iter	Passed	Remaining
0	49	49480
1	50	24958
2	50	16815
3	51	12753
4	52	10357
5	52	8746
6	53	7589
7	54	6720
8	54	6052
9	55	5516
10	56	5079
11	57	4714
12	57	4399
13	58	4131
14	59	3900
15	60	3694
16	60	3514
17	61	3353
18	62	3212
19	62	3085
20	63	2968
21	64	2863
22	65	2770
23	65	2682
24	66	2599
25	67	2526
26	68	2454
27	68	2391
28	69	2330
29	70	2272
30	70	2217
31	71	2168
32	72	2122
33	73	2078
34	73	2037
35	74	2000
36	75	1964
37	76	1928
38	76	1895
39	77	1861
40	78	1831
41	79	1803
42	79	1775
43	80	1748
44	81	1722
45	81	1698
46	82	1675
47	83	1653
48	84	1632
49	84	1611
50	85	1591
51	86	1573
52	87	1554
53	87	1535
54	88	1518
55	89	1501
56	89	1484
57	90	1469
58	91	1453
59	91	1439
60	92	1424
61	93	1412
62	94	1399
63	94	1386
64	95	1374
65	96	1362
66	97	1351
67	97	1339
68	98	1328
69	99	1317
70	99	1307
71	100	1296
72	101	1286
73	101	1276
74	102	1267
75	103	1257
76	104	1248
77	104	1239
78	105	1230
79	106	1222
80	107	1214
81	107	1206
82	108	1198
83	109	1190
84	109	1182
85	110	1175
86	111	1168
87	112	1161
88	112	1154
89	113	1147
90	114	1141
91	114	1134
92	115	1128
93	116	1122
94	117	1115
95	117	1109
96	118	1103
97	119	1097
98	119	1091
99	120	1085
100	121	1080
101	122	1075
102	122	1069
103	123	1064
104	124	1057
105	124	1051
106	125	1045
107	125	1039
108	126	1033
109	127	1028
110	127	1022
111	128	1016
112	128	1011
113	129	1005
114	130	1000
115	130	995
116	131	990
117	131	985
118	132	980
119	132	974
120	133	969
121	133	964
122	134	959
123	135	954
124	135	949
125	136	944
126	136	939
127	137	934
128	137	929
129	138	925
130	138	920
131	139	915
132	139	911
133	140	907
134	140	902
135	141	897
136	141	893
137	142	888
138	142	884
139	143	880
140	143	876
141	144	871
142	144	867
143	145	863
144	145	859
145	146	855
146	146	852
147	147	849
148	147	845
149	148	841
150	148	837
151	149	834
152	150	830
153	150	827
154	151	823
155	151	820
156	152	817
157	152	813
158	153	809
159	153	807
160	154	803
161	154	800
162	155	797
163	155	793
164	156	791
165	156	787
166	157	784
167	157	781
168	158	778
169	158	775
170	159	773
171	159	770
172	160	767
173	160	764
174	161	761
175	161	758
176	162	755
177	162	752
178	163	748
179	163	745
180	163	741
181	164	738
182	164	736
183	165	734
184	166	731
185	166	728
186	166	725
187	167	723
188	167	720
189	168	718
190	168	715
191	169	713
192	169	710
193	170	708
194	170	705
195	171	703
196	172	701
197	172	698
198	173	696
199	173	694
200	173	691
201	174	689
202	174	686
203	175	684
204	176	682
205	176	680
206	177	678
207	177	676
208	178	674
209	178	672
210	179	671
211	180	669
212	180	667
213	181	666
214	182	664
215	182	663
216	183	661
217	183	659
218	184	657
219	185	655
220	185	654
221	186	652
222	186	650
223	187	648
224	187	647
225	188	645
226	188	643
227	189	641
228	190	640
229	190	638
230	191	636
231	191	634
232	192	632
233	192	630
234	193	629
235	193	627
236	194	625
237	194	624
238	195	622
239	196	620
240	196	619
241	197	617
242	197	616
243	198	615
244	199	613
245	199	612
246	200	611
247	201	610
248	201	609
249	202	607
250	203	606
251	203	605
252	204	603
253	205	602
254	205	600
255	206	599
256	206	597
257	207	596
258	207	595
259	208	593
260	209	592
261	209	591
262	210	590
263	211	588
264	211	587
265	212	585
266	212	584
267	213	582
268	213	580
269	214	579
270	215	578
271	215	577
272	216	576
273	216	574
274	217	573
275	218	572
276	218	570
277	219	569
278	219	567
279	220	566
280	221	565
281	221	564
282	222	563
283	222	562
284	223	560
285	224	559
286	224	558
287	225	556
288	225	555
289	226	553
290	226	552
291	227	551
292	228	550
293	228	549
294	229	548
295	229	546
296	230	545
297	231	544
298	231	543
299	232	541
300	232	541
301	233	539
302	234	538
303	234	537
304	235	536
305	236	535
306	236	534
307	237	532
308	237	531
309	238	530
310	238	529
311	239	528
312	240	527
313	240	526
314	241	525
315	242	523
316	242	522
317	243	521
318	243	520
319	244	518
320	244	517
321	245	516
322	246	515
323	246	514
324	247	513
325	248	512
326	248	511
327	249	511
328	250	509
329	250	508
330	251	507
331	252	507
332	252	506
333	253	504
334	253	503
335	254	502
336	255	501
337	255	500
338	256	499
339	256	498
340	257	497
341	257	496
342	258	494
343	258	493
344	259	492
345	260	491
346	260	490
347	261	489
348	262	488
349	262	487
350	263	486
351	263	485
352	264	484
353	264	483
354	265	482
355	266	481
356	266	480
357	267	479
358	268	478
359	268	478
360	269	476
361	269	475
362	270	474
363	271	473
364	271	472
365	272	472
366	273	471
367	273	470
368	274	469
369	275	468
370	275	467
371	276	466
372	276	465
373	277	464
374	278	463
375	278	462
376	279	461
377	279	460
378	280	459
379	281	458
380	281	457
381	282	456
382	282	455
383	283	454
384	283	453
385	284	452
386	285	451
387	285	450
388	286	449
389	286	448
390	287	448
391	288	447
392	288	446
393	289	445
394	289	444
395	290	443
396	290	441
397	291	441
398	292	440
399	292	439
400	293	438
401	294	437
402	294	436
403	295	435
404	295	434
405	296	433
406	296	432
407	297	431
408	298	430
409	298	430
410	299	429
411	300	428
412	300	427
413	301	426
414	301	425
415	302	424
416	302	423
417	303	422
418	304	421
419	304	421
420	305	420
421	306	419
422	306	418
423	307	417
424	308	416
425	308	415
426	309	414
427	309	413
428	310	413
429	310	412
430	311	411
431	312	410
432	312	409
433	313	408
434	313	407
435	314	406
436	314	405
437	315	404
438	316	403
439	316	403
440	317	402
441	317	401
442	318	400
443	319	399
444	320	399
445	320	398
446	321	397
447	321	396
448	322	395
449	322	394
450	323	393
451	324	392
452	324	392
453	325	391
454	325	390
455	326	389
456	326	388
457	327	387
458	328	386
459	328	385
460	329	385
461	329	384
462	330	383
463	331	382
464	331	381
465	332	380
466	333	380
467	333	379
468	334	378
469	334	377
470	335	376
471	335	375
472	336	374
473	336	373
474	337	373
475	338	372
476	339	371
477	339	370
478	340	370
479	340	368
480	341	367
481	341	367
482	342	366
483	342	365
484	343	364
485	344	363
486	344	363
487	345	362
488	346	361
489	346	360
490	347	359
491	347	359
492	349	359
493	349	358
494	350	357
495	351	356
496	351	356
497	352	355
498	353	354
499	353	353
500	354	352
501	354	351
502	355	351
503	355	350
504	356	349
505	357	348
506	358	348
507	358	347
508	359	346
509	359	345
510	360	344
511	360	343
512	361	343
513	362	342
514	362	341
515	363	340
516	363	339
517	364	339
518	365	338
519	365	337
520	366	337
521	367	336
522	368	335
523	368	334
524	369	334
525	369	333
526	370	332
527	371	331
528	371	331
529	372	330
530	372	329
531	373	328
532	374	327
533	374	327
534	375	326
535	375	325
536	376	324
537	377	323
538	377	322
539	377	321
540	378	321
541	379	320
542	379	319
543	380	318
544	380	317
545	381	317
546	382	316
547	382	315
548	383	315
549	384	314
550	384	313
551	385	312
552	386	312
553	386	311
554	387	310
555	388	310
556	388	309
557	389	308
558	390	307
559	390	307
560	391	306
561	391	305
562	392	304
563	393	303
564	393	303
565	394	302
566	395	301
567	395	301
568	396	300
569	396	299
570	397	298
571	398	297
572	398	297
573	399	296
574	399	295
575	400	294
576	401	293
577	401	293
578	402	292
579	402	291
580	403	290
581	404	290
582	404	289
583	405	288
584	405	287
585	406	287
586	406	286
587	407	285
588	408	284
589	408	284
590	409	283
591	410	282
592	410	281
593	411	281
594	411	280
595	412	279
596	413	278
597	413	278
598	414	277
599	415	277
600	416	276
601	416	275
602	417	274
603	417	274
604	418	273
605	419	272
606	419	271
607	420	271
608	421	270
609	421	269
610	422	269
611	423	268
612	423	267
613	424	266
614	424	265
615	425	265
616	425	264
617	426	263
618	427	262
619	427	262
620	428	261
621	429	260
622	429	260
623	430	259
624	431	258
625	431	257
626	432	257
627	432	256
628	433	255
629	434	254
630	434	254
631	435	253
632	435	252
633	436	252
634	437	251
635	437	250
636	438	249
637	438	249
638	439	248
639	440	247
640	441	247
641	441	246
642	442	245
643	442	244
644	443	244
645	444	243
646	444	242
647	445	241
648	445	241
649	446	240
650	447	239
651	447	238
