iter	Passed	Remaining
652	448	238
653	448	237
654	449	236
655	450	235
656	450	235
657	451	234
658	451	233
659	452	233
660	452	232
661	453	231
662	454	230
663	454	230
664	455	229
665	456	228
666	456	227
667	457	227
668	457	226
669	458	225
670	458	224
671	459	224
672	460	223
673	461	222
674	461	222
675	462	221
676	462	220
677	463	220
678	463	219
679	464	218
680	465	217
681	465	217
682	466	216
683	467	215
684	467	215
685	468	214
686	468	213
687	469	212
688	470	212
689	470	211
690	471	210
691	472	210
692	472	209
693	473	208
694	473	208
695	474	207
696	475	206
697	475	205
698	476	205
699	476	204
700	477	203
701	477	202
702	478	202
703	479	201
704	479	200
705	480	200
706	481	199
707	481	198
708	482	197
709	482	197
710	483	196
711	484	195
712	484	195
713	485	194
714	486	193
715	486	193
716	487	192
717	488	191
718	488	190
719	489	190
720	489	189
721	490	188
722	490	188
723	491	187
724	492	186
725	492	185
726	493	185
727	494	184
728	494	183
729	495	183
730	495	182
731	496	181
732	496	180
733	497	180
734	498	179
735	498	178
736	499	178
737	500	177
738	500	176
739	501	176
740	501	175
741	502	174
742	503	173
743	503	173
744	504	172
745	505	172
746	505	171
747	506	170
748	506	169
749	507	169
750	508	168
751	508	167
752	509	166
753	509	166
754	510	165
755	510	164
756	511	164
757	512	163
758	512	162
759	513	162
760	513	161
761	514	160
762	515	160
763	516	159
764	516	158
765	517	157
766	517	157
767	518	156
768	519	156
769	519	155
770	520	154
771	521	153
772	521	153
773	522	152
774	523	151
775	523	151
776	524	150
777	525	149
778	525	149
779	526	148
780	526	147
781	527	147
782	528	146
783	528	145
784	529	144
785	529	144
786	530	143
787	531	142
788	531	142
789	532	141
790	532	140
791	533	140
792	534	139
793	534	138
794	535	138
795	535	137
796	536	136
797	536	135
798	537	135
799	538	134
800	538	133
801	539	133
802	540	132
803	540	131
804	541	131
805	542	130
806	542	129
807	543	129
808	544	128
809	545	127
810	545	127
811	546	126
812	546	125
813	547	125
814	547	124
815	548	123
816	549	123
817	549	122
818	550	121
819	551	120
820	551	120
821	552	119
822	553	119
823	554	118
824	554	117
825	555	117
826	556	116
827	556	115
828	557	114
829	557	114
830	558	113
831	558	112
832	559	112
833	560	111
834	561	110
835	561	110
836	562	109
837	562	108
838	563	108
839	563	107
840	564	106
841	565	106
842	565	105
843	566	104
844	566	103
845	567	103
846	567	102
847	568	101
848	568	101
849	569	100
850	570	99
851	570	99
852	571	98
853	571	97
854	572	97
855	573	96
856	573	95
857	574	95
858	574	94
859	575	93
860	576	93
861	577	92
862	578	91
863	578	91
864	579	90
865	579	89
866	580	89
867	581	88
868	581	87
869	582	87
870	583	86
871	583	85
872	584	84
873	584	84
874	585	83
875	585	82
876	586	82
877	587	81
878	587	80
879	588	80
880	588	79
881	589	78
882	590	78
883	590	77
884	591	76
885	591	76
886	592	75
887	592	74
888	593	74
889	594	73
890	594	72
891	595	72
892	595	71
893	596	70
894	597	70
895	597	69
896	598	68
897	598	68
898	599	67
899	600	66
900	600	66
901	601	65
902	602	64
903	602	64
904	603	63
905	604	62
906	604	61
907	605	61
908	605	60
909	606	59
910	607	59
911	607	58
912	608	57
913	609	57
914	609	56
915	610	55
916	610	55
917	611	54
918	611	53
919	612	53
920	613	52
921	613	51
922	614	51
923	615	50
924	615	49
925	616	49
926	617	48
927	617	47
928	618	47
929	618	46
930	619	45
931	620	45
932	620	44
933	621	43
934	621	43
935	622	42
936	623	41
937	623	41
938	624	40
939	624	39
940	625	39
941	625	38
942	626	37
943	627	37
944	627	36
945	628	35
946	628	35
947	629	34
948	630	33
949	630	33
950	631	32
951	631	31
952	632	31
953	633	30
954	634	29
955	634	29
956	635	28
957	635	27
958	636	27
959	637	26
960	637	25
961	638	25
962	638	24
963	639	23
964	639	23
965	640	22
966	641	21
967	641	21
968	642	20
969	643	19
970	643	19
971	644	18
972	644	17
973	646	17
974	646	16
975	647	15
976	647	15
977	648	14
978	649	13
979	650	13
980	650	12
981	650	11
982	651	11
983	652	10
984	652	9
985	653	9
986	654	8
987	654	7
988	655	7
989	656	6
990	656	5
991	657	5
992	657	4
993	658	3
994	659	3
995	659	2
996	660	1
997	660	1
998	661	0
999	662	0
